contractSymbol,lastTradeDate,strike,lastPrice,bid,ask,change,percentChange,volume,openInterest,impliedVolatility,inTheMoney,contractSize,currency,symbol,option_type,expiration,spot,fetched_at_utc
SPY260814C00670000,2026-07-17 13:47:07+00:00,670.0,75.25,74.71,77.51,-8.639999,-10.299201,1.0,5,0.33234310241699216,True,REGULAR,USD,SPY,call,2026-08-14,743.2899780273438,2026-07-18T06:06:48.276117+00:00
SPY260814C00675000,2026-07-17 17:29:04+00:00,675.0,75.49,69.9,72.71,-2.7000046,-3.4531329,1.0,4,0.320044641418457,True,REGULAR,USD,SPY,call,2026-08-14,743.2899780273438,2026-07-18T06:06:48.276117+00:00
SPY260814C00680000,2026-07-17 16:06:00+00:00,680.0,70.5,65.13,67.95,-6.550003,-8.500977,3.0,6,0.3081734222412109,True,REGULAR,USD,SPY,call,2026-08-14,743.2899780273438,2026-07-18T06:06:48.276117+00:00
SPY260814C00685000,2026-07-17 15:37:45+00:00,685.0,63.17,60.4,63.21,-6.330002,-9.107916,14.0,3,0.2961801339721679,True,REGULAR,USD,SPY,call,2026-08-14,743.2899780273438,2026-07-18T06:06:48.276117+00:00
SPY260814C00690000,2026-07-17 14:46:29+00:00,690.0,58.32,55.84,58.5,-5.630001,-8.803754,2.0,8,0.2841868457031249,True,REGULAR,USD,SPY,call,2026-08-14,743.2899780273438,2026-07-18T06:06:48.276117+00:00
SPY260814C00691000,2026-07-16 19:59:48+00:00,691.0,63.92,54.78,57.59,0.0,0.0,1.0,2,0.2823558093261719,True,REGULAR,USD,SPY,call,2026-08-14,743.2899780273438,2026-07-18T06:06:48.276117+00:00
SPY260814C00692000,2026-07-16 19:18:00+00:00,692.0,61.97,53.85,56.66,0.0,0.0,4.0,4,0.28006701385498034,True,REGULAR,USD,SPY,call,2026-08-14,743.2899780273438,2026-07-18T06:06:48.276117+00:00
SPY260814C00693000,2026-07-13 13:58:05+00:00,693.0,63.84,52.93,55.73,0.0,0.0,,5,0.277778218383789,True,REGULAR,USD,SPY,call,2026-08-14,743.2899780273438,2026-07-18T06:06:48.276117+00:00
SPY260814C00694000,2026-07-07 14:30:21+00:00,694.0,58.5,52.0,54.79,0.0,0.0,,1,0.2752452847290039,True,REGULAR,USD,SPY,call,2026-08-14,743.2899780273438,2026-07-18T06:06:48.276117+00:00
SPY260814C00695000,2026-07-16 14:55:45+00:00,695.0,62.73,51.21,53.87,0.0,0.0,3.0,7,0.27304804107666014,True,REGULAR,USD,SPY,call,2026-08-14,743.2899780273438,2026-07-18T06:06:48.276117+00:00
SPY260814C00696000,2026-07-16 17:51:12+00:00,696.0,59.87,50.2,52.97,0.0,0.0,1.0,2,0.271217004699707,True,REGULAR,USD,SPY,call,2026-08-14,743.2899780273438,2026-07-18T06:06:48.276117+00:00
SPY260814C00697000,2026-07-17 16:34:01+00:00,697.0,54.28,49.24,52.03,-7.720001,-12.451615,1.0,1,0.2685925192260742,True,REGULAR,USD,SPY,call,2026-08-14,743.2899780273438,2026-07-18T06:06:48.276117+00:00
SPY260814C00700000,2026-07-17 16:54:09+00:00,700.0,51.7,46.63,48.45,-2.7000008,-4.963237,10.0,14,0.24683370361328127,True,REGULAR,USD,SPY,call,2026-08-14,743.2899780273438,2026-07-18T06:06:48.276117+00:00
SPY260814C00703000,2026-07-13 17:26:11+00:00,703.0,52.04,43.8,46.6,0.0,0.0,1.0,4,0.2558973336791992,True,REGULAR,USD,SPY,call,2026-08-14,743.2899780273438,2026-07-18T06:06:48.276117+00:00
SPY260814C00704000,2026-07-07 14:07:04+00:00,704.0,51.04,42.9,45.7,0.0,0.0,,4,0.25370009002685545,True,REGULAR,USD,SPY,call,2026-08-14,743.2899780273438,2026-07-18T06:06:48.276117+00:00
SPY260814C00705000,2026-07-17 19:46:49+00:00,705.0,43.86,42.12,44.79,-6.0699997,-12.15702,1.0,13,0.25131974273681634,True,REGULAR,USD,SPY,call,2026-08-14,743.2899780273438,2026-07-18T06:06:48.276117+00:00
SPY260814C00706000,2026-07-07 17:12:44+00:00,706.0,49.62,41.12,43.92,0.0,0.0,,2,0.2495497409057617,True,REGULAR,USD,SPY,call,2026-08-14,743.2899780273438,2026-07-18T06:06:48.276117+00:00
SPY260814C00707000,2026-07-13 15:15:36+00:00,707.0,50.85,40.23,43.03,0.0,0.0,,1,0.2474135317993164,True,REGULAR,USD,SPY,call,2026-08-14,743.2899780273438,2026-07-18T06:06:48.276117+00:00
SPY260814C00710000,2026-07-17 19:23:17+00:00,710.0,39.68,37.63,40.38,-5.4000015,-11.978707,3.0,147,0.24100490447998046,True,REGULAR,USD,SPY,call,2026-08-14,743.2899780273438,2026-07-18T06:06:48.276117+00:00
SPY260814C00712000,2026-07-15 16:39:21+00:00,712.0,44.09,35.86,38.66,0.0,0.0,6.0,14,0.2371902453613281,True,REGULAR,USD,SPY,call,2026-08-14,743.2899780273438,2026-07-18T06:06:48.276117+00:00
SPY260814C00713000,2026-07-10 16:54:37+00:00,713.0,46.51,34.99,37.8,0.0,0.0,1.0,8,0.23520662261962888,True,REGULAR,USD,SPY,call,2026-08-14,743.2899780273438,2026-07-18T06:06:48.276117+00:00
SPY260814C00715000,2026-07-17 17:56:59+00:00,715.0,36.9,33.4,36.07,-6.529999,-15.035687,2.0,30,0.23090368713378906,True,REGULAR,USD,SPY,call,2026-08-14,743.2899780273438,2026-07-18T06:06:48.276117+00:00
SPY260814C00716000,2026-07-14 14:48:46+00:00,716.0,41.31,32.43,35.24,0.0,0.0,,2,0.22919471984863282,True,REGULAR,USD,SPY,call,2026-08-14,743.2899780273438,2026-07-18T06:06:48.276117+00:00
SPY260814C00718000,2026-07-13 15:35:47+00:00,718.0,40.35,30.79,33.56,0.0,0.0,1.0,3,0.22525799163818355,True,REGULAR,USD,SPY,call,2026-08-14,743.2899780273438,2026-07-18T06:06:48.276117+00:00
SPY260814C00719000,2026-07-17 13:30:02+00:00,719.0,31.65,29.92,32.72,-1.8999996,-5.663188,3.0,3,0.22321333435058593,True,REGULAR,USD,SPY,call,2026-08-14,743.2899780273438,2026-07-18T06:06:48.276117+00:00
SPY260814C00720000,2026-07-17 19:52:18+00:00,720.0,31.77,29.12,31.88,-4.8600006,-13.267815,11.0,71,0.2210771252441406,True,REGULAR,USD,SPY,call,2026-08-14,743.2899780273438,2026-07-18T06:06:48.276117+00:00
SPY260814C00721000,2026-07-14 15:41:25+00:00,721.0,28.53,28.26,31.07,-8.999998,-23.980812,30.0,3,0.21930712341308595,True,REGULAR,USD,SPY,call,2026-08-14,743.2899780273438,2026-07-18T06:06:48.276117+00:00
SPY260814C00722000,2026-07-17 15:53:22+00:00,722.0,31.21,27.44,30.25,-4.2800026,-12.059742,5.0,1,0.21732350067138673,True,REGULAR,USD,SPY,call,2026-08-14,743.2899780273438,2026-07-18T06:06:48.276117+00:00
SPY260814C00724000,2026-07-16 19:45:50+00:00,724.0,31.82,25.83,28.54,0.0,0.0,4.0,5,0.21219659881591796,True,REGULAR,USD,SPY,call,2026-08-14,743.2899780273438,2026-07-18T06:06:48.276117+00:00
SPY260814C00725000,2026-07-17 18:56:23+00:00,725.0,27.99,25.58,27.35,-6.58,-19.033844,5.0,216,0.2049945223999023,True,REGULAR,USD,SPY,call,2026-08-14,743.2899780273438,2026-07-18T06:06:48.276117+00:00
SPY260814C00726000,2026-07-16 19:45:50+00:00,726.0,31.42,24.79,26.55,0.0,0.0,1.0,2,0.2030414169311523,True,REGULAR,USD,SPY,call,2026-08-14,743.2899780273438,2026-07-18T06:06:48.276117+00:00
SPY260814C00727000,2026-07-17 19:48:51+00:00,727.0,25.95,24.01,25.76,-5.9399986,-18.626524,5.0,4,0.20114934600830076,True,REGULAR,USD,SPY,call,2026-08-14,743.2899780273438,2026-07-18T06:06:48.276117+00:00
SPY260814C00728000,2026-07-15 14:16:21+00:00,728.0,33.68,23.24,24.98,0.0,0.0,1.0,5,0.19928779235839844,True,REGULAR,USD,SPY,call,2026-08-14,743.2899780273438,2026-07-18T06:06:48.276117+00:00
SPY260814C00729000,2026-07-17 19:52:50+00:00,729.0,24.26,22.47,24.2,-7.3199997,-23.179228,22.0,5,0.19733468688964845,True,REGULAR,USD,SPY,call,2026-08-14,743.2899780273438,2026-07-18T06:06:48.276117+00:00
SPY260814C00730000,2026-07-17 20:02:21+00:00,730.0,22.79,21.82,23.42,-4.0,-14.930944,49.0,181,0.195320546875,True,REGULAR,USD,SPY,call,2026-08-14,743.2899780273438,2026-07-18T06:06:48.276117+00:00
SPY260814C00731000,2026-07-17 15:33:50+00:00,731.0,23.88,20.96,22.66,-5.9900017,-20.05357,1.0,55,0.1934589932250977,True,REGULAR,USD,SPY,call,2026-08-14,743.2899780273438,2026-07-18T06:06:48.276117+00:00
SPY260814C00732000,2026-07-15 13:57:59+00:00,732.0,29.83,20.21,21.9,0.0,0.0,1.0,3,0.1915058877563477,True,REGULAR,USD,SPY,call,2026-08-14,743.2899780273438,2026-07-18T06:06:48.276117+00:00
SPY260814C00733000,2026-07-15 14:16:21+00:00,733.0,29.33,19.82,21.15,0.0,0.0,1.0,130,0.1895832995605469,True,REGULAR,USD,SPY,call,2026-08-14,743.2899780273438,2026-07-18T06:06:48.276117+00:00
SPY260814C00734000,2026-07-17 20:07:21+00:00,734.0,19.51,18.75,20.41,-6.129999,-23.907953,4.0,3,0.18767597000122072,True,REGULAR,USD,SPY,call,2026-08-14,743.2899780273438,2026-07-18T06:06:48.276117+00:00
SPY260814C00735000,2026-07-17 20:00:16+00:00,735.0,19.16,18.64,19.0,-3.6499996,-16.001753,18.0,237,0.1772543212890625,True,REGULAR,USD,SPY,call,2026-08-14,743.2899780273438,2026-07-18T06:06:48.276117+00:00
SPY260814C00736000,2026-07-17 19:22:54+00:00,736.0,18.43,17.32,18.96,-8.35,-31.179985,4.0,382,0.18393760406494142,True,REGULAR,USD,SPY,call,2026-08-14,743.2899780273438,2026-07-18T06:06:48.276117+00:00
SPY260814C00737000,2026-07-17 20:06:28+00:00,737.0,17.45,16.62,18.24,-7.2199993,-29.266314,5.0,5,0.18198449859619142,True,REGULAR,USD,SPY,call,2026-08-14,743.2899780273438,2026-07-18T06:06:48.276117+00:00
SPY260814C00738000,2026-07-16 14:10:13+00:00,738.0,23.77,15.93,17.53,0.0,0.0,2.0,104,0.18003139312744143,True,REGULAR,USD,SPY,call,2026-08-14,743.2899780273438,2026-07-18T06:06:48.276117+00:00
SPY260814C00739000,2026-07-17 20:04:39+00:00,739.0,16.2,15.63,16.39,-6.459999,-28.50838,282.0,39,0.17266147171020513,True,REGULAR,USD,SPY,call,2026-08-14,743.2899780273438,2026-07-18T06:06:48.276117+00:00
SPY260814C00740000,2026-07-17 20:12:06+00:00,740.0,15.3,15.31,15.43,-4.8,-23.880598,517.0,277,0.16742775939941407,True,REGULAR,USD,SPY,call,2026-08-14,743.2899780273438,2026-07-18T06:06:48.276117+00:00
SPY260814C00741000,2026-07-17 20:13:34+00:00,741.0,14.75,14.64,14.77,-7.1800003,-32.74054,593.0,170,0.16574930938720706,True,REGULAR,USD,SPY,call,2026-08-14,743.2899780273438,2026-07-18T06:06:48.276117+00:00
SPY260814C00742000,2026-07-17 20:14:37+00:00,742.0,14.14,14.02,14.08,-6.4000006,-31.158716,851.0,38,0.16358258300781253,True,REGULAR,USD,SPY,call,2026-08-14,743.2899780273438,2026-07-18T06:06:48.276117+00:00
SPY260814C00743000,2026-07-17 20:03:16+00:00,743.0,13.56,13.38,13.44,-6.3,-31.722054,1600.0,81,0.16187361572265624,True,REGULAR,USD,SPY,call,2026-08-14,743.2899780273438,2026-07-18T06:06:48.276117+00:00
SPY260814C00744000,2026-07-17 20:12:53+00:00,744.0,12.7,12.75,12.81,-4.6500006,-26.801153,2761.0,192,0.1601646484375,False,REGULAR,USD,SPY,call,2026-08-14,743.2899780273438,2026-07-18T06:06:48.276117+00:00
SPY260814C00745000,2026-07-17 20:14:55+00:00,745.0,12.16,12.13,12.19,-4.34,-26.303032,939.0,287,0.15842516387939454,False,REGULAR,USD,SPY,call,2026-08-14,743.2899780273438,2026-07-18T06:06:48.276117+00:00
SPY260814C00746000,2026-07-17 20:10:05+00:00,746.0,11.53,11.52,11.58,-4.2,-26.700571,345.0,126,0.15663990341186523,False,REGULAR,USD,SPY,call,2026-08-14,743.2899780273438,2026-07-18T06:06:48.276117+00:00
SPY260814C00747000,2026-07-17 19:58:58+00:00,747.0,11.34,10.93,10.99,-3.1800003,-21.900827,1458.0,406,0.1549461947631836,False,REGULAR,USD,SPY,call,2026-08-14,743.2899780273438,2026-07-18T06:06:48.276117+00:00
SPY260814C00748000,2026-07-17 20:10:22+00:00,748.0,10.33,10.35,10.41,-3.87,-27.253521,1231.0,554,0.15322196884155276,False,REGULAR,USD,SPY,call,2026-08-14,743.2899780273438,2026-07-18T06:06:48.276117+00:00
SPY260814C00749000,2026-07-17 20:00:25+00:00,749.0,10.01,9.79,9.84,-3.6599998,-26.773956,547.0,447,0.15145196701049807,False,REGULAR,USD,SPY,call,2026-08-14,743.2899780273438,2026-07-18T06:06:48.276117+00:00
SPY260814C00750000,2026-07-17 20:14:20+00:00,750.0,9.29,9.24,9.29,-3.67,-28.317902,930.0,1472,0.14975825836181644,False,REGULAR,USD,SPY,call,2026-08-14,743.2899780273438,2026-07-18T06:06:48.276117+00:00
SPY260814C00751000,2026-07-17 19:58:45+00:00,751.0,9.16,8.7,8.76,-3.33,-26.661327,185.0,629,0.14814084289550783,False,REGULAR,USD,SPY,call,2026-08-14,743.2899780273438,2026-07-18T06:06:48.276117+00:00
SPY260814C00752000,2026-07-17 20:08:57+00:00,752.0,8.2,8.19,8.24,-2.75,-25.114155,167.0,924,0.14644713424682615,False,REGULAR,USD,SPY,call,2026-08-14,743.2899780273438,2026-07-18T06:06:48.276117+00:00
SPY260814C00753000,2026-07-17 20:03:58+00:00,753.0,7.73,7.68,7.73,-3.5800004,-31.653408,274.0,1012,0.14469239105224607,False,REGULAR,USD,SPY,call,2026-08-14,743.2899780273438,2026-07-18T06:06:48.276117+00:00
SPY260814C00754000,2026-07-17 20:03:11+00:00,754.0,7.37,7.2,7.25,-3.1000004,-29.608408,409.0,1452,0.14313601013183597,False,REGULAR,USD,SPY,call,2026-08-14,743.2899780273438,2026-07-18T06:06:48.276117+00:00
SPY260814C00755000,2026-07-17 20:14:51+00:00,755.0,6.79,6.73,6.78,-3.1599998,-31.758795,739.0,1119,0.14151859466552735,False,REGULAR,USD,SPY,call,2026-08-14,743.2899780273438,2026-07-18T06:06:48.276117+00:00
SPY260814C00756000,2026-07-17 20:04:39+00:00,756.0,6.42,6.28,6.33,-2.88,-30.967743,377.0,910,0.1399622137451172,False,REGULAR,USD,SPY,call,2026-08-14,743.2899780273438,2026-07-18T06:06:48.276117+00:00
SPY260814C00757000,2026-07-17 20:10:05+00:00,757.0,5.89,5.85,5.89,-3.1600003,-34.91713,202.0,271,0.13831428100585938,False,REGULAR,USD,SPY,call,2026-08-14,743.2899780273438,2026-07-18T06:06:48.276117+00:00
SPY260814C00758000,2026-07-17 19:59:02+00:00,758.0,5.89,5.43,5.48,-2.1700006,-26.92308,146.0,469,0.1368494519042969,False,REGULAR,USD,SPY,call,2026-08-14,743.2899780273438,2026-07-18T06:06:48.276117+00:00
SPY260814C00759000,2026-07-17 19:52:10+00:00,759.0,5.55,5.04,5.08,-2.31,-29.389313,31.0,959,0.13529307098388677,False,REGULAR,USD,SPY,call,2026-08-14,743.2899780273438,2026-07-18T06:06:48.276117+00:00
SPY260814C00760000,2026-07-17 20:13:36+00:00,760.0,4.72,4.66,4.7,-2.8000002,-37.234043,1075.0,2176,0.133797724609375,False,REGULAR,USD,SPY,call,2026-08-14,743.2899780273438,2026-07-18T06:06:48.276117+00:00
SPY260814C00761000,2026-07-17 19:30:08+00:00,761.0,4.7,4.3,4.34,-2.8400002,-37.665783,134.0,348,0.13236341278076175,False,REGULAR,USD,SPY,call,2026-08-14,743.2899780273438,2026-07-18T06:06:48.276117+00:00
SPY260814C00762000,2026-07-17 20:14:51+00:00,762.0,4.0,3.96,4.0,-2.33,-36.808846,417.0,479,0.13099013549804686,False,REGULAR,USD,SPY,call,2026-08-14,743.2899780273438,2026-07-18T06:06:48.276117+00:00
SPY260814C00763000,2026-07-17 20:06:01+00:00,763.0,3.68,3.64,3.68,-2.43,-39.77087,503.0,355,0.12964737548828126,False,REGULAR,USD,SPY,call,2026-08-14,743.2899780273438,2026-07-18T06:06:48.276117+00:00
SPY260814C00764000,2026-07-17 20:06:55+00:00,764.0,3.37,3.34,3.38,-2.0500002,-37.82288,555.0,604,0.12839616729736325,False,REGULAR,USD,SPY,call,2026-08-14,743.2899780273438,2026-07-18T06:06:48.276117+00:00
SPY260814C00765000,2026-07-17 20:10:56+00:00,765.0,3.04,3.05,3.09,-2.29,-42.96435,469.0,627,0.12705340728759767,False,REGULAR,USD,SPY,call,2026-08-14,743.2899780273438,2026-07-18T06:06:48.276117+00:00
SPY260814C00766000,2026-07-17 20:02:30+00:00,766.0,2.9,2.79,2.82,-2.04,-41.295547,232.0,472,0.1257716818237305,False,REGULAR,USD,SPY,call,2026-08-14,743.2899780273438,2026-07-18T06:06:48.276117+00:00
SPY260814C00767000,2026-07-17 19:17:54+00:00,767.0,2.75,2.54,2.57,-1.5300002,-35.74767,363.0,593,0.12458150817871094,False,REGULAR,USD,SPY,call,2026-08-14,743.2899780273438,2026-07-18T06:06:48.276117+00:00
SPY260814C00768000,2026-07-17 20:10:56+00:00,768.0,2.3,2.31,2.34,-1.8199999,-44.17476,353.0,392,0.12348288635253907,False,REGULAR,USD,SPY,call,2026-08-14,743.2899780273438,2026-07-18T06:06:48.276117+00:00
SPY260814C00769000,2026-07-17 20:07:38+00:00,769.0,2.11,2.09,2.12,-1.3900001,-39.714287,338.0,238,0.12232322998046877,False,REGULAR,USD,SPY,call,2026-08-14,743.2899780273438,2026-07-18T06:06:48.276117+00:00
SPY260814C00770000,2026-07-17 20:14:21+00:00,770.0,1.91,1.89,1.93,-1.4700001,-43.491127,703.0,1185,0.12146874633789062,False,REGULAR,USD,SPY,call,2026-08-14,743.2899780273438,2026-07-18T06:06:48.276117+00:00
SPY260814C00771000,2026-07-17 19:24:45+00:00,771.0,1.93,1.71,1.74,-1.2400001,-39.116722,150.0,714,0.12037012451171875,False,REGULAR,USD,SPY,call,2026-08-14,743.2899780273438,2026-07-18T06:06:48.276117+00:00
SPY260814C00772000,2026-07-17 20:01:27+00:00,772.0,1.64,1.54,1.57,-1.3000001,-44.21769,63.0,301,0.11942408905029298,False,REGULAR,USD,SPY,call,2026-08-14,743.2899780273438,2026-07-18T06:06:48.276117+00:00
SPY260814C00773000,2026-07-17 19:18:22+00:00,773.0,1.55,1.39,1.42,-1.1100001,-41.72933,28.0,252,0.1186611572265625,False,REGULAR,USD,SPY,call,2026-08-14,743.2899780273438,2026-07-18T06:06:48.276117+00:00
SPY260814C00774000,2026-07-17 20:01:06+00:00,774.0,1.33,1.24,1.27,-0.9699999,-42.173912,162.0,155,0.11762356994628906,False,REGULAR,USD,SPY,call,2026-08-14,743.2899780273438,2026-07-18T06:06:48.276117+00:00
SPY260814C00775000,2026-07-17 20:14:12+00:00,775.0,1.13,1.12,1.15,-1.15,-50.438595,397.0,658,0.11710477630615235,False,REGULAR,USD,SPY,call,2026-08-14,743.2899780273438,2026-07-18T06:06:48.276117+00:00
SPY260814C00776000,2026-07-17 19:59:01+00:00,776.0,1.15,1.0,1.03,-0.74,-39.15344,187.0,540,0.11634184448242188,False,REGULAR,USD,SPY,call,2026-08-14,743.2899780273438,2026-07-18T06:06:48.276117+00:00
SPY260814C00777000,2026-07-17 20:07:38+00:00,777.0,0.91,0.9,0.92,-0.79,-46.47059,39.0,497,0.1155483953857422,False,REGULAR,USD,SPY,call,2026-08-14,743.2899780273438,2026-07-18T06:06:48.276117+00:00
SPY260814C00778000,2026-07-17 20:04:51+00:00,778.0,0.83,0.8,0.83,-0.64000005,-43.53742,302.0,317,0.11512115356445313,False,REGULAR,USD,SPY,call,2026-08-14,743.2899780273438,2026-07-18T06:06:48.276117+00:00
SPY260814C00779000,2026-07-17 19:56:29+00:00,779.0,0.84,0.72,0.74,-0.62000006,-42.465755,185.0,819,0.11444977355957033,False,REGULAR,USD,SPY,call,2026-08-14,743.2899780273438,2026-07-18T06:06:48.276117+00:00
SPY260814C00780000,2026-07-17 20:11:47+00:00,780.0,0.65,0.64,0.66,-0.69000006,-51.492542,1027.0,1545,0.11390046264648437,False,REGULAR,USD,SPY,call,2026-08-14,743.2899780273438,2026-07-18T06:06:48.276117+00:00
SPY260814C00781000,2026-07-17 19:25:38+00:00,781.0,0.62,0.57,0.59,-0.51,-45.13274,30.0,427,0.11341218627929686,False,REGULAR,USD,SPY,call,2026-08-14,743.2899780273438,2026-07-18T06:06:48.276117+00:00
SPY260814C00782000,2026-07-17 19:40:55+00:00,782.0,0.56,0.51,0.53,-0.48999995,-46.666664,395.0,789,0.11316804809570313,False,REGULAR,USD,SPY,call,2026-08-14,743.2899780273438,2026-07-18T06:06:48.276117+00:00
SPY260814C00783000,2026-07-17 18:53:25+00:00,783.0,0.58,0.45,0.48,-0.41000003,-41.414146,13.0,173,0.1131070135498047,False,REGULAR,USD,SPY,call,2026-08-14,743.2899780273438,2026-07-18T06:06:48.276117+00:00
SPY260814C00784000,2026-07-17 19:08:55+00:00,784.0,0.47,0.41,0.43,-0.41,-46.590908,70.0,1947,0.1128018408203125,False,REGULAR,USD,SPY,call,2026-08-14,743.2899780273438,2026-07-18T06:06:48.276117+00:00
SPY260814C00785000,2026-07-17 20:02:58+00:00,785.0,0.39,0.36,0.38,-0.40000004,-50.63291,318.0,2163,0.11231356445312499,False,REGULAR,USD,SPY,call,2026-08-14,743.2899780273438,2026-07-18T06:06:48.276117+00:00
SPY260814C00790000,2026-07-17 20:14:48+00:00,790.0,0.22,0.21,0.23,-0.25,-53.19149,138.0,1692,0.11267977172851562,False,REGULAR,USD,SPY,call,2026-08-14,743.2899780273438,2026-07-18T06:06:48.276117+00:00
SPY260814C00795000,2026-07-17 19:26:37+00:00,795.0,0.15,0.13,0.14,-0.120000005,-44.444447,46.0,324,0.11353425537109374,False,REGULAR,USD,SPY,call,2026-08-14,743.2899780273438,2026-07-18T06:06:48.276117+00:00
SPY260814C00800000,2026-07-17 20:04:15+00:00,800.0,0.1,0.09,0.1,-0.07,-41.17647,554.0,2229,0.11695218994140624,False,REGULAR,USD,SPY,call,2026-08-14,743.2899780273438,2026-07-18T06:06:48.276117+00:00
SPY260814C00805000,2026-07-17 19:31:03+00:00,805.0,0.08,0.06,0.08,-0.049999997,-38.461536,12.0,218,0.12207909179687501,False,REGULAR,USD,SPY,call,2026-08-14,743.2899780273438,2026-07-18T06:06:48.276117+00:00
SPY260814C00810000,2026-07-17 20:00:31+00:00,810.0,0.05,0.05,0.06,-0.06,-54.545456,25.0,133,0.125985302734375,False,REGULAR,USD,SPY,call,2026-08-14,743.2899780273438,2026-07-18T06:06:48.276117+00:00
SPY260814C00815000,2026-07-15 14:05:55+00:00,815.0,0.12,0.04,0.05,0.0,0.0,4.0,98,0.13086806640624998,False,REGULAR,USD,SPY,call,2026-08-14,743.2899780273438,2026-07-18T06:06:48.276117+00:00
SPY260814C00820000,2026-07-16 13:37:28+00:00,820.0,0.04,0.03,0.04,-0.030000001,-42.857143,5.0,117,0.13526255371093754,False,REGULAR,USD,SPY,call,2026-08-14,743.2899780273438,2026-07-18T06:06:48.276117+00:00
SPY260814C00825000,2026-07-16 17:59:44+00:00,825.0,0.06,0.03,0.04,0.0,0.0,25.0,146,0.14258669921875,False,REGULAR,USD,SPY,call,2026-08-14,743.2899780273438,2026-07-18T06:06:48.276117+00:00
SPY260814C00830000,2026-07-17 19:37:36+00:00,830.0,0.03,0.02,0.03,-0.01,-25.0,16.0,63,0.145516357421875,False,REGULAR,USD,SPY,call,2026-08-14,743.2899780273438,2026-07-18T06:06:48.276117+00:00
SPY260814C00835000,2026-07-17 19:34:05+00:00,835.0,0.03,0.02,0.03,-0.020000001,-40.000004,720.0,5,0.15235222656250003,False,REGULAR,USD,SPY,call,2026-08-14,743.2899780273438,2026-07-18T06:06:48.276117+00:00
SPY260814C00840000,2026-07-17 18:55:45+00:00,840.0,0.03,0.02,0.03,-0.01,-25.0,240.0,428,0.1601646484375,False,REGULAR,USD,SPY,call,2026-08-14,743.2899780273438,2026-07-18T06:06:48.276117+00:00
SPY260814C00845000,2026-07-14 14:10:46+00:00,845.0,0.03,0.01,0.03,0.0,0.0,240.0,513,0.16700051757812504,False,REGULAR,USD,SPY,call,2026-08-14,743.2899780273438,2026-07-18T06:06:48.276117+00:00
SPY260814C00850000,2026-07-15 18:29:26+00:00,850.0,0.03,0.01,0.03,0.0,0.0,222.0,1389,0.17383638671875,False,REGULAR,USD,SPY,call,2026-08-14,743.2899780273438,2026-07-18T06:06:48.276117+00:00
SPY260814C00855000,2026-07-13 15:24:02+00:00,855.0,0.03,0.01,0.02,0.0,0.0,168.0,470,0.17383638671875,False,REGULAR,USD,SPY,call,2026-08-14,743.2899780273438,2026-07-18T06:06:48.276117+00:00
